id,company_id,esb_id,product_esb_id,code,name,output_qty,flag_active,bom_type_id,bom_type_name,product_name,uom_name,raw_data,synced_at,updated_at
269,1,153,,PREM-00021,Premium Oat Milk 1Lt (Less Sugar),1.00,true,3,Menu,,,"{""bomID"":153,""notes"":"""",""bomCode"":""PREM-00021"",""bomName"":""Premium Oat Milk 1Lt (Less Sugar)"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
270,1,201,,PREM-00014,Premium Oat Milk 1Lt (No Sugar),1.00,true,3,Menu,,,"{""bomID"":201,""notes"":"""",""bomCode"":""PREM-00014"",""bomName"":""Premium Oat Milk 1Lt (No Sugar)"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
271,1,185,,PREM-00006,Premium Oat Milk Can,1.00,true,3,Menu,,,"{""bomID"":185,""notes"":"""",""bomCode"":""PREM-00006"",""bomName"":""Premium Oat Milk Can"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
272,1,121,,PREM-00027,Premium Oat Milk Can (Extra Sugar),1.00,true,3,Menu,,,"{""bomID"":121,""notes"":"""",""bomCode"":""PREM-00027"",""bomName"":""Premium Oat Milk Can (Extra Sugar)"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
273,1,102,,PREM-00020,Premium Oat Milk Can (Less Sugar),1.00,true,3,Menu,,,"{""bomID"":102,""notes"":"""",""bomCode"":""PREM-00020"",""bomName"":""Premium Oat Milk Can (Less Sugar)"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
274,1,144,,PREM-00013,Premium Oat Milk Can (No Sugar),1.00,true,3,Menu,,,"{""bomID"":144,""notes"":"""",""bomCode"":""PREM-00013"",""bomName"":""Premium Oat Milk Can (No Sugar)"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
275,1,272,,,Premium Oat Milk Can Tumbler,1.00,true,3,Menu,,,"{""bomID"":272,""notes"":"""",""bomCode"":"""",""bomName"":""Premium Oat Milk Can Tumbler"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
276,1,273,,,Premium Oat Milk Tumbler,1.00,true,3,Menu,,,"{""bomID"":273,""notes"":"""",""bomCode"":"""",""bomName"":""Premium Oat Milk Tumbler"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
277,1,317,,SDISH-002-NEW,PUDDING CARAMEL,1.00,true,3,Menu,,,"{""bomID"":317,""notes"":"""",""bomCode"":""SDISH-002-NEW"",""bomName"":""PUDDING CARAMEL"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
278,1,204,,SIDE-00004,Pudding Coffee Cream,1.00,true,3,Menu,,,"{""bomID"":204,""notes"":"""",""bomCode"":""SIDE-00004"",""bomName"":""Pudding Coffee Cream"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
