id,company_id,esb_id,name,product_code,bom_name,category_name,sub_category_name,category_type_name,flag_active,normalized_name,raw_data,synced_at,updated_at
465,1,1410,SYRUP DENALI ROUN 750ML,RMSY-00014,,RAW MATERIAL,SYRUP,Inventory,true,,"{""bomName"":null,""productID"":1410,""flagActive"":true,""productCode"":""RMSY-00014"",""productName"":""SYRUP DENALI ROUN 750ML"",""categoryName"":""RAW MATERIAL"",""subCategoryName"":""SYRUP"",""categoryTypeName"":""Inventory""}",2026-08-21 18:25:32.021999+00,2026-08-28 07:30:20.376907+00
466,1,1411,SYRUP DRIPP APEL MALANG 760ML,RMSY-00028,,RAW MATERIAL,SYRUP,Inventory,true,,"{""bomName"":null,""productID"":1411,""flagActive"":true,""productCode"":""RMSY-00028"",""productName"":""SYRUP DRIPP APEL MALANG 760ML"",""categoryName"":""RAW MATERIAL"",""subCategoryName"":""SYRUP"",""categoryTypeName"":""Inventory""}",2026-08-21 18:25:32.021999+00,2026-08-28 07:30:20.376907+00
467,1,1412,SYRUP DRIPP BANANA 760ML,RMSY-00004,,RAW MATERIAL,SYRUP,Inventory,true,,"{""bomName"":null,""productID"":1412,""flagActive"":true,""productCode"":""RMSY-00004"",""productName"":""SYRUP DRIPP BANANA 760ML"",""categoryName"":""RAW MATERIAL"",""subCategoryName"":""SYRUP"",""categoryTypeName"":""Inventory""}",2026-08-21 18:25:32.021999+00,2026-08-28 07:30:20.376907+00
468,1,1413,SYRUP DRIPP BUTTERSCOTCH 760ML,RMSY-00005,,RAW MATERIAL,SYRUP,Inventory,true,,"{""bomName"":null,""productID"":1413,""flagActive"":true,""productCode"":""RMSY-00005"",""productName"":""SYRUP DRIPP BUTTERSCOTCH 760ML"",""categoryName"":""RAW MATERIAL"",""subCategoryName"":""SYRUP"",""categoryTypeName"":""Inventory""}",2026-08-21 18:25:32.021999+00,2026-08-28 07:30:20.376907+00
469,1,1414,SYRUP DRIPP CARAMEL 760ML,RMSY-00006,,RAW MATERIAL,SYRUP,Inventory,true,,"{""bomName"":null,""productID"":1414,""flagActive"":true,""productCode"":""RMSY-00006"",""productName"":""SYRUP DRIPP CARAMEL 760ML"",""categoryName"":""RAW MATERIAL"",""subCategoryName"":""SYRUP"",""categoryTypeName"":""Inventory""}",2026-08-21 18:25:32.021999+00,2026-08-28 07:30:20.376907+00
470,1,1415,SYRUP DRIPP CINNAMON 750ML,RMSY-00007,,RAW MATERIAL,SYRUP,Inventory,true,,"{""bomName"":null,""productID"":1415,""flagActive"":true,""productCode"":""RMSY-00007"",""productName"":""SYRUP DRIPP CINNAMON 750ML"",""categoryName"":""RAW MATERIAL"",""subCategoryName"":""SYRUP"",""categoryTypeName"":""Inventory""}",2026-08-21 18:25:32.021999+00,2026-08-28 07:30:20.376907+00
471,1,1588,SYRUP DRIPP HONEY 760ML,RMSY-00031,,RAW MATERIAL,SYRUP,Inventory,true,,"{""bomName"":null,""productID"":1588,""flagActive"":true,""productCode"":""RMSY-00031"",""productName"":""SYRUP DRIPP HONEY 760ML"",""categoryName"":""RAW MATERIAL"",""subCategoryName"":""SYRUP"",""categoryTypeName"":""Inventory""}",2026-08-21 18:25:32.021999+00,2026-08-28 07:30:20.376907+00
472,1,1589,SYRUP DRIPP JASMINE 760ML,RMSY-00032,,RAW MATERIAL,SYRUP,Inventory,true,,"{""bomName"":null,""productID"":1589,""flagActive"":true,""productCode"":""RMSY-00032"",""productName"":""SYRUP DRIPP JASMINE 760ML"",""categoryName"":""RAW MATERIAL"",""subCategoryName"":""SYRUP"",""categoryTypeName"":""Inventory""}",2026-08-21 18:25:32.021999+00,2026-08-28 07:30:20.376907+00
473,1,1433,SYRUP DRIPP MANGGA HARUMANIS PULP 760ML,RMSY-00027,,RAW MATERIAL,SYRUP,Inventory,true,,"{""bomName"":null,""productID"":1433,""flagActive"":true,""productCode"":""RMSY-00027"",""productName"":""SYRUP DRIPP MANGGA HARUMANIS PULP 760ML"",""categoryName"":""RAW MATERIAL"",""subCategoryName"":""SYRUP"",""categoryTypeName"":""Inventory""}",2026-08-21 18:25:32.021999+00,2026-08-28 07:30:20.376907+00
474,1,1416,SYRUP DRIPP MANGO STICKY RICE 750ML,RMSY-00008,,RAW MATERIAL,SYRUP,Inventory,true,,"{""bomName"":null,""productID"":1416,""flagActive"":true,""productCode"":""RMSY-00008"",""productName"":""SYRUP DRIPP MANGO STICKY RICE 750ML"",""categoryName"":""RAW MATERIAL"",""subCategoryName"":""SYRUP"",""categoryTypeName"":""Inventory""}",2026-08-21 18:25:32.021999+00,2026-08-28 07:30:20.376907+00
