id,company_id,esb_id,code,name,flag_active,raw_data,synced_at,updated_at
167,4,270,Unit,PACK@5PCS,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
168,4,271,Unit,PACK@5ROLL,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
169,4,272,Unit,PACK@6PCS,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
170,4,337,Unit,PACK@750ML,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
171,4,273,Unit,PACK@760GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
172,4,274,Unit,PACK@800GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
173,4,339,Unit,PACK@900GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
174,4,275,Unit,PACK@92PCS,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
175,4,276,Unit,PACK@950GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
176,4,309,Unit,PAIL@4000G (8L),true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
177,4,277,Unit,PAIL@8000GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
178,4,278,Unit,PALLET DOUBLE@5940PCS,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
179,4,279,Unit,PALLET SINGLE@2970PCS,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
180,4,280,Unit,PALLET SINGLE@9725PCS,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
181,4,281,Unit,PCS,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
182,4,282,Unit,PCS@1000GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
183,4,283,Unit,PCS@1050GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
184,4,284,Unit,PCS@1100GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
185,4,317,Unit,PCS@1200GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
186,4,285,Unit,PCS@2000GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
187,4,286,Unit,PCS@200GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
188,4,287,Unit,PCS@2200GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
189,4,288,Unit,PCS@250GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
190,4,289,Unit,PCS@365GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
191,4,290,Unit,PCS@380GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
192,4,291,Unit,PCS@488GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
193,4,292,Unit,PCS@500GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
194,4,293,Unit,PCS@510GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
195,4,294,Unit,PCS@525GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
196,4,315,Unit,PCS@65GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
197,4,295,Unit,PCS@700GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
